SITE,SNCSadj,SUBAREA,CHAN,UNIT,CHANWID,uparea,elev,grad,discharge,width,depth,sinu,val_width,fp_width,flowvel,bf_flow,strmpow,vwi,valcnstrnt,gp_warm,gp_cool,gp_avg,rsf,count1k,count5k,count10k,sub1k,sub5k,sub10k,SUBCAT,TR,ME,BA,BK
NF25,4,77.85,main,pool,11.8,317.6,314.01,0,0.31,2.19,0.7,1.08,843.5,843.15,0.6,0.92,0.91,383.64,383.57,3.8,2.73,3.26,0,14,60,78,898.57,6855.37,7788.18,MEDIUM,1,0,0,1
NF26,0,25.74,main,riffle,15.5,317.6,313.98,0,0.31,2.2,0.7,1.16,297.87,297.05,0.6,0.93,0.91,135.33,135.12,3.8,2.73,3.26,0,14,61,79,877,6858.75,7799.16,SMALL,1,0,0,1
NF27,68,478.8,main,pool,9.5,317.6,313.98,0,0.31,2.2,0.7,1.16,297.87,297.05,0.6,0.93,0.91,135.33,135.12,3.8,2.73,3.26,0,14,61,79,877,6858.75,7799.16,LARGE,0,1,1,0
NF34,0,16.47,main,riffle,19.8,320.78,314.76,0.02,0.32,2.2,0.7,1,333.44,317.57,2.83,4.39,946.37,151.24,143.86,3.8,2.73,3.26,0,14,61,87,781.01,6879.57,8397.83,SMALL,1,0,0,1
NF38,0,97.2,main,riffle,13.6,321.16,313.99,0,0.31,2.18,0.7,1.11,419.79,409.91,0.6,0.92,0.91,191.69,187.21,3.8,2.73,3.26,0,16,63,88,4269.5,6880.47,8511.83,MEDIUM,1,0,0,1
NF41,63,230,main,pool,10.3,321.16,313.99,0,0.31,2.18,0.7,1.11,419.79,409.91,0.6,0.92,0.91,191.69,187.21,3.8,2.73,3.26,0,18,63,88,4404.67,6880.47,8511.83,LARGE,1,1,0,1
NF43,3,3.25,main,glide,12,321.18,314.06,0,0.31,2.19,0.7,1.02,187.62,187.62,0.6,0.92,0.91,85.62,85.67,3.8,2.73,3.26,0,21,63,88,4725.89,6896.1,8511.83,SMALL,0,0,0,1
NF44,93,3360,main,pool,15.1,321.18,313.39,8.00E-03,0.31,2.19,0.7,1.02,258.56,207.91,1.7,2.63,206.56,117.75,94.51,3.8,2.73,3.26,0,21,64,89,4769.62,6913.92,8531.15,LARGE,0,0,0,0
NF54,25,68,main,riffle,7.1,321.34,307.44,6.00E-03,0.31,2.18,0.7,1.14,217.5,101.58,1.47,2.26,133.03,99.73,46.56,3.8,2.73,3.26,0,19,60,90,4941.49,6816.99,8560.15,MEDIUM,1,0,1,1
NF57,1,280.8,main,pool,13.6,330.36,306.03,0,0.31,2.18,0.7,1.12,164.28,164.28,0.6,0.93,0.91,75.12,75.06,4.76,3.56,4.16,0,18,57,91,1581.49,6746.95,8596.87,LARGE,1,1,0,1
UM04,0,14.04,main,riffle,30,736.53,305.05,0,0.37,2.39,0.88,1,248.16,232.29,0.67,1.43,1.4,103.8,97.04,4.48,3.33,3.9,0,3,51,91,44.44,6641.68,8596.75,SMALL,1,0,0,1
UM06,5,0,main,riffle,12.1,738.84,304.2,0,0.37,2.38,0.89,1.01,539.36,379.7,0.67,1.43,1.4,225.86,159.02,4.48,3.33,3.9,0,5,51,90,60.09,6873.19,8697.5,SMALL,0,0,0,1
UM11,49,6.3,main,run,15.7,750.05,307.1,0,0.38,2.4,0.89,1,394.46,361.86,0.67,1.45,1.42,164.07,150.29,4.42,3.24,3.83,0,1,33,82,6.3,1838.37,8641.43,SMALL,1,0,0,1
UM13,65,425.6,main,pool,16.9,750.36,301.94,0,0.37,2.37,0.89,1.06,383.06,297.69,0.67,1.43,1.41,161.02,125.23,4.42,3.24,3.83,0,13,31,81,1161.34,1741.37,8820.4,LARGE,0,1,0,0
UM16,0,65,main,riffle,10.9,750.38,302.01,0,0.37,2.38,0.89,1.06,482.8,482.8,0.67,1.44,1.41,202.77,202.93,4.42,3.24,3.83,0,13,31,81,1161.34,1741.37,8820.4,MEDIUM,0,0,1,0
UM21,0,12.75,main,glide,15.9,847.31,302,0,0.38,2.4,0.92,1.04,428.43,344.28,0.68,1.53,1.5,177.88,143.01,3.71,2.65,3.18,0.05,16,29,74,1367.19,1817.93,8211.03,SMALL,0,0,0,1
